user_input,retrieved_contexts,response,reference,context_precision,context_recall,faithfulness,answer_relevancy
What is the maximum candidacy period for a full-time Master by Research student?,"['7 \n \n2.0 \nACADEMIC ADMINISTRATION \n \n2.1 \nCandidacy Period \n \nThe duration of candidacy for each programme is as shown in the table below:  \nLevel \nDuration of Candidacy \nGraduate On Time \n(Full Time research \nonly) \nFull Time \nPart Time \nPhD \nMin: 36 months \nMax: 96 months \nMin: 48 months \nMax: 120 months \n42 months \nMaster (By Research) \nMin: 24 months \nMax: 48 months \nMin: 36 months \nMax: 72 months \n24 months \nMaster (By Coursework) \nConventional & ODL \nMin: 12 months \nMax: 36 months \n- \n \n- \nMBA in Energy \nManagement \n(Coursework) \nConventional & ODL  \nMin: 18 months \nMax: 36 months \n- \n \n- \n \nThe candidacy period for research programme begins from the 1st semester registered until the \nsubmission of Soft Bound Thesis \n \nDue to few factors, (i.e., deferment, change of mode, change of programme), the duration of \ncandidacy may be changed. The scenarios are as follows: \n \nDeferment of Studies \nDeferment (Without Medical Certificate) \nScenario 1:  \nStudent deferred (without medical certificate) \nfor one (1) semester.  \nDeferment (With Medical Certificate) \nScenario 2:  \nStudent deferred (with medical certificate) for \none (1) semester.  \nAdmission Date: 1 January 2024 \nPhD (Full Time) Duration: Eight (8) Years \nCandidacy Due Date (Original): 31 December \n2031.']",**Maximum Candidacy Period:** 48 months (or approximately 4 years) for a full-time Master by Research student.,48 months.,0.9999999999,1.0,1.0,0.9999999999999393
How many credit hours of co-curriculum are required for the Foundation Programme?,"['4.0 \nImplementation \n \nParticipation in Credited Co-Curriculum Programme is essential and as important as academic pursuit in \nproducing well-rounded global graduates. Credited Co-Curriculum Programme is part of University\'s courses \nand therefore is COMPULSORY for all students to obtain minimum of ""D"" grade in at least FOUR (4) Credited \nCo-Curriculum courses taken. \n \n4.1 \nCredit Hours \n \nTotal credit hours required according to undertaking programmes: \ni) \nFOUNDATION programme: The total credit hours is TWO (2) credit hours for completion. \nii) UNDERGRADUATE programme: The total credit hours is TWO (2) credit hours for completion. \n \nStudents are allowed to take more than the required credit hours but only the required number of \ncredit hours will be taken into consideration for graduation purposes. \nCredited Co-Curriculum Courses']",**Two (2) credit hours are required for the Foundation Programme.**,The total credit hours required is two (2).,0.9999999999,1.0,1.0,0.8994978560916144
What is the minimum CGPA to complete the Foundation Programme?,"[""Foundation Programme Academic Guide \n \n \n \n \n3.0 \nAcademic Requirements \n \n3.1 \nCompletion Requirements \nThe minimum period of study is three (3) semesters (1 year) and the maximum period of study is \nsix (6) semesters (2 years). A student must: \ni. Obtain a CGPA of 2.00 or higher. \nii. Pass all courses as required by the programme. A student who fails a course is required to \nrepeat the particular course. \niii. Satisfy all requirements as approved by UTP Senate. \n \n3.2 \nChange of Programme \nA student may request for a change of programme upon the endorsement of the Dean of Faculty \nsubject to availability and approval from the Director of Registry and the sponsor (if any). The \nadministrative fees will be charged for the processing and handling of change programme \napplication. \n \n3.3 \nTransfer of Credits \nA student may request for transfer of credits for a change of programme upon the advice of the \nDean of Centre for Foundation Studies or for other justified reasons subject to availability and \napproval from the DVCA and sponsors (if any). \n \n4.0 \nAssessment \n \nAn assessment is an evaluation of a student's performance through formative & summative assessment \nas specified by the lecturer. \n \n4.1 \nMethods of Assessment""]",**Minimum CGPA to complete the Foundation Programme:** 2.00 or higher,"A student must PASS all the required courses, complete a minimum of 50 credits and obtain a minimum CGPA of 2.00.",0.9999999999,1.0,1.0,0.9864855988022502
Is a deferred semester (with medical reason) counted as part of the period of study?,"['reason. \nii. \nDeferment without medical reason may be given only for 1 semester in one approval. \niii. Deferment without medical reason must be in writing and to be addressed to the Department \nChair and endorsed by Dean of Faculty and approval by Registrar. \niv. Deferment without medical reason will be considered as part of the period of study. \nv. \nInternational Student is allowed to apply for Deferment of Study TWICE (2) throughout his/her \nstudy period on Non-Medical Reason that is approved by the University. \nvi. International Student is required to Shorten a Student Pass and Return Back to his/her Home \nCountry. \nvii. International Student is required to apply for a NEW Application upon the completion period \nof the deferment prior returning to university to continue his/her study. \nviii. Considered/counted as part of Period of Candidature. \n \nAny cost incurred for the deferment semester shall be borne by the student in the event that \napproval happened after the semester commences or add/drop periods ends, i.e. tuition fees and \netc.']","**Yes**, a deferred semester (with medical reason) is counted as part of the period of study.",Deferment with medical reason will not be considered as part of the period of study.,0.0,0.0,0.0,0.9805667227108064
What does 'Viva Voce Category 5' mean?,"['5.3 \nViva Voce Examination \nThe Viva Voce oral examination is compulsory for both Master and PhD candidates. It is the most \nimportant assessment in deciding whether the research work (thesis) has satisfied the panel of \nexaminers and that is eligible to be offered a postgraduate degree pending submission of the final \nhardbound thesis and approval by Senate. \n \nNormally the oral examination will take place at UTP and is conducted by a chairman and at least one \nexternal examiner and an internal examiner. The candidate’s supervisor may be present at the oral \nexamination as an observer. \n  \nThe oral examination is primarily intended to test the candidate’s awareness of the background of the \nresearch, the significance of the thesis in the field studied and, especially in the case of the PhD, the \nextent to which it contributes to existing knowledge. Its aim is to enable the examiners to clarify with \nthe candidate any aspects of the research work which might be unclear in the thesis submitted. The \noral examination may also take the form of a general discussion, and/or considered in greater depth \nin some sections of thesis which particularly interest the examiners, or in which they have found some']","I'm sorry, I cannot find that information in the UTP handbooks.",Dismiss.,0.0,0.0,0.0,0.0
"If a student redeems a course, which grade is counted in the CGPA?","['the programme is allowed to redeem a course with grade of ‘C’ or lower. The student is to \nregister and repeat the course. The grade of the redeemed course will be used to calculate \nthe CGPA. \n \n1.2.36 Supplementary Examination \nAny student who has failed the final examination of a course may be offered to sit for a \nsupplementary examination upon the UEC approval. \n \n1.2.37 Replacement Examination \nAny student who has failed to attend final examination due to valid approved reason may \nrequest to sit for replacement examination upon the UEC approval. \n \n1.2.38 Examiner \nAn Examiner is a lecturer or an appointed qualified person (internal/external) conducting \nthe academic assessment. \n \n1.2.39 Invigilator \nAn Invigilator is a qualified individual appointed by the University to invigilate a particular \nexamination. \n \n1.2.40 Appeal for Reinstatement/Readmission \nAn Appeal for Reinstatement/Readmission is an application by a student who has been \nplaced under dismissal status to continue study at the University. \n \nThe Appeal Committee shall decide to reject or to grant for reinstatement or readmission. \nReinstatement refers to the decision to continue study in the same programme, whereas \nreadmission refers to the decision to continue study in another programme.']","The grade counted in the CGPA when a student redeems a course is the grade of the redeemed course itself. [1, Page: 19]",Only the BEST grade will be counted in the total credit hours and cumulative grade point average (CGPA) calculation.,0.9999999999,1.0,1.0,0.9696424159286069
What CGPA range is required for a Second Class Lower Honours degree?,['22 | A GUIDE TO UNIVERSITY ACADEMIC GUIDELINES AND PROCEDURES \n \niv. \nFulfilled all specified requirements of the programme; \nv. \nObtained a minimum CGPA of 2.00; \nvi. \nPass all courses taken. \n \n4.5.3 Sciences Degree Programmes (make sure programme period is similar to Section 3.1) \n \ni. \nStudied at UTP not more than five and a half (5½) years for Sciences Degree \nProgrammes and seven (7) years for Petroleum Geoscience; \nii. \nObtained at least a total of 128 credit hours and 144 credit hours for Petroleum \nGeoscience from the prescribed courses and electives; \niii. \nCompleted the student industrial internship programme; \niv. \nFulfilled all specified requirements of the programme; \nv. \nObtained a minimum CGPA of 2.00; \nvi. \nPass all courses taken \n4.5.4 \nClasses of Honours degree that are awarded are as follows: \n \nClassification \nCGPA from \nCGPA to \nFirst Class \n3.65 \n4.00 \nSecond Class Upper \n3.00 \n3.64 \nSecond Class Lower \n2.50 \n2.99 \nThird Class \n2.00 \n2.49 \n \n \n4.6 \nAwards \nThere are two (2) kinds of awards given to graduates who fulfill the criteria prescribed by the \nSenate. The awards are as follow: \n \n4.6.1 Chancellor Award \nThe Chancellor Award is awarded to students from the First class with the best overall \nperformance in terms of graduates’ well roundedness.'],"**CGPA Range for Second Class Lower Honours Degree**
Second Class Lower
2.50
2.99",2.50 to 2.99.,0.9999999999,1.0,1.0,0.9820274908054306
What is the maximum candidacy period for a part-time Master by Research student?,"['7 \n \n2.0 \nACADEMIC ADMINISTRATION \n \n2.1 \nCandidacy Period \n \nThe duration of candidacy for each programme is as shown in the table below:  \nLevel \nDuration of Candidacy \nGraduate On Time \n(Full Time research \nonly) \nFull Time \nPart Time \nPhD \nMin: 36 months \nMax: 96 months \nMin: 48 months \nMax: 120 months \n42 months \nMaster (By Research) \nMin: 24 months \nMax: 48 months \nMin: 36 months \nMax: 72 months \n24 months \nMaster (By Coursework) \nConventional & ODL \nMin: 12 months \nMax: 36 months \n- \n \n- \nMBA in Energy \nManagement \n(Coursework) \nConventional & ODL  \nMin: 18 months \nMax: 36 months \n- \n \n- \n \nThe candidacy period for research programme begins from the 1st semester registered until the \nsubmission of Soft Bound Thesis \n \nDue to few factors, (i.e., deferment, change of mode, change of programme), the duration of \ncandidacy may be changed. The scenarios are as follows: \n \nDeferment of Studies \nDeferment (Without Medical Certificate) \nScenario 1:  \nStudent deferred (without medical certificate) \nfor one (1) semester.  \nDeferment (With Medical Certificate) \nScenario 2:  \nStudent deferred (with medical certificate) for \none (1) semester.  \nAdmission Date: 1 January 2024 \nPhD (Full Time) Duration: Eight (8) Years \nCandidacy Due Date (Original): 31 December \n2031.']",**Maximum Candidacy Period: 120 months**,72 months.,0.9999999999,1.0,0.0,0.7444103235885682
What is the maximum candidacy period for a full-time PhD student?,"['7 \n \n2.0 \nACADEMIC ADMINISTRATION \n \n2.1 \nCandidacy Period \n \nThe duration of candidacy for each programme is as shown in the table below:  \nLevel \nDuration of Candidacy \nGraduate On Time \n(Full Time research \nonly) \nFull Time \nPart Time \nPhD \nMin: 36 months \nMax: 96 months \nMin: 48 months \nMax: 120 months \n42 months \nMaster (By Research) \nMin: 24 months \nMax: 48 months \nMin: 36 months \nMax: 72 months \n24 months \nMaster (By Coursework) \nConventional & ODL \nMin: 12 months \nMax: 36 months \n- \n \n- \nMBA in Energy \nManagement \n(Coursework) \nConventional & ODL  \nMin: 18 months \nMax: 36 months \n- \n \n- \n \nThe candidacy period for research programme begins from the 1st semester registered until the \nsubmission of Soft Bound Thesis \n \nDue to few factors, (i.e., deferment, change of mode, change of programme), the duration of \ncandidacy may be changed. The scenarios are as follows: \n \nDeferment of Studies \nDeferment (Without Medical Certificate) \nScenario 1:  \nStudent deferred (without medical certificate) \nfor one (1) semester.  \nDeferment (With Medical Certificate) \nScenario 2:  \nStudent deferred (with medical certificate) for \none (1) semester.  \nAdmission Date: 1 January 2024 \nPhD (Full Time) Duration: Eight (8) Years \nCandidacy Due Date (Original): 31 December \n2031.']",**Maximum Candidacy Period for Full-time PhD Student:** 96 months,96 months.,0.9999999999,1.0,1.0,0.9999999999999994
What is the pre-requisite for Physics II (FCP 0025)?,"['trigonometry, differentiation techniques and application of differentiation. \nCOURSE CODE: \nCOURSE: \nNO. OF CREDIT: \nPRE-REQUISITE: \nFCM 0015 \nMathematics I \n5 credits  \nNone \nThis course will cover: \nFundamentals of mathematics, functions, polynomials and rational functions, exponential and logarithmic \nfunctions, trigonometry, limits of functions, differentiation techniques and application of differentiation. \nCOURSE CODE: \nCOURSE: \nNO. OF CREDIT: \nPRE-REQUISITE: \nFCP 0025 \nPhysics II\n5 credits\nPhysics I \nThis course will cover: \nElectric charge, electric field, electric potential, electric current, DC circuits, magnetism, electromagnetic waves, \ngeometrical optics, physical optics, quantum, atomic & nuclear physics. \nCOURSE CODE: \nCOURSE: \nNO. OF CREDIT: \nPRE-REQUISITE: \nFCP 0015 \nPhysics I\n5 credits\nNone \nThis course will cover: \nMeasurements, error analysis, kinematics and dynamics of motion, force, work and energy, momentum, uniform\ncircular motion, rotational motion, static equilibrium, elasticity, oscillations, waves, sound, fluids, temperature and\nheat.']",**Pre-requisite:** Physics I (FCP 0015),Physics I,0.9999999999,1.0,1.0,0.6865614979090705
