user_input,retrieved_contexts,response,reference,context_precision,context_recall,faithfulness,answer_relevancy
What is the pre-requisite for Mathematics II (FCM 0035)?,"['Foundation Programme Courses Synopsis \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \nA GUIDE TO UNIVERSITY ACADEMIC GUIDELINES AND PROCEDURES                                                                           30\nCOURSE CODE: \nCOURSE: \nNO. OF CREDIT: \nPRE-REQUISITE: \nFBM 0045 \nFundamental Mathematics II \n5 credits \nFundamental Mathematics I \nThis course will cover: \nThe curve sketching techniques, integration and application of integrations, systems of linear inequalities, \nmeasures of central tendency and dispersion, basic mathematics of finance and visual presentation data. \nCOURSE CODE: \nCOURSE: \nNO. OF CREDIT: \nPRE-REQUISITE: \nFCM 0035 \nMathematics II \n5 credits \nMathematics I \nThis course will cover: \nTechniques and application of integrations, introduction to differential equation, linear algebra, introduction to \nseries, descriptive statistics, probability and random variables. \nCOURSE CODE: \nCOURSE: \nNO. OF CREDIT: \nPRE-REQUISITE: \nFCM 0025 \nFundamental Mathematics I \n5 credits \nNone \nThis course will cover: \nThe  basic  algebra,  functions,  polynomials  and  rational  functions,  exponential  and  logarithmic  functions,']","Mathematics I (Source [1], Page: 37)",Mathematics I.,0.9999999999,1.0,0.5,0.4291026362484575
When are undergraduate students allowed to add or drop courses?,"['full-time students must register a minimum of nine (9) credit hours and maximum of sixteen \n(16) credit hours. However, this ruling may be waived for graduating students who are in their final \nsemester. \n \n2.2 \nAdding/Dropping/Withdrawal of Courses \n \n2.2.1 \nAdding/Dropping of Courses \nStudents are allowed to add/drop courses within the first two (2) weeks of the \nsemester subject to the approval of the Department Chair and subject to the \ncompliance of the total credit hours allowed. \n2.2.2 \nWithdrawal \na. Withdrawal from Courses \nStudents are allowed to withdraw from the courses latest by week six (6) of the \nsemester provided that they maintain a minimum of nine (9) credit hours. The \ncourse fee, however, shall not be refunded. \nb. Withdrawal from Examination \nStudents who have registered for courses but are unable to sit for the \nexamination due to some unavoidable circumstances may apply for withdrawal \nfrom the examination, subject to recommendation of the Department Chair and \napproval by the Deputy Vice Chancellor, Academic. \nIf the withdrawal is due to illness or injury, the student must furnish the University']","According to Source [1], Page 18, undergraduate students are allowed to add/drop courses within the first two (2) weeks of the semester, subject to the approval of the Department Chair and compliance with the total credit hours allowed. [1, Page: 18]",Students are allowed to add/drop courses within the first two (2) weeks of the semester.,0.9999999999,1.0,1.0,0.8893924500547724
What is the maximum candidacy period for a full-time Master by Research student?,"['7 \n \n2.0 \nACADEMIC ADMINISTRATION \n \n2.1 \nCandidacy Period \n \nThe duration of candidacy for each programme is as shown in the table below:  \nLevel \nDuration of Candidacy \nGraduate On Time \n(Full Time research \nonly) \nFull Time \nPart Time \nPhD \nMin: 36 months \nMax: 96 months \nMin: 48 months \nMax: 120 months \n42 months \nMaster (By Research) \nMin: 24 months \nMax: 48 months \nMin: 36 months \nMax: 72 months \n24 months \nMaster (By Coursework) \nConventional & ODL \nMin: 12 months \nMax: 36 months \n- \n \n- \nMBA in Energy \nManagement \n(Coursework) \nConventional & ODL  \nMin: 18 months \nMax: 36 months \n- \n \n- \n \nThe candidacy period for research programme begins from the 1st semester registered until the \nsubmission of Soft Bound Thesis \n \nDue to few factors, (i.e., deferment, change of mode, change of programme), the duration of \ncandidacy may be changed. The scenarios are as follows: \n \nDeferment of Studies \nDeferment (Without Medical Certificate) \nScenario 1:  \nStudent deferred (without medical certificate) \nfor one (1) semester.  \nDeferment (With Medical Certificate) \nScenario 2:  \nStudent deferred (with medical certificate) for \none (1) semester.  \nAdmission Date: 1 January 2024']","According to Source [1], Page [12], the maximum duration of candidacy for a Full Time PhD student is 96 months. Since you are asking about a Master by Research student, which has a shorter duration than a PhD, the answer would be the minimum duration for a PhD student, which is also applicable to a Master by Research student. Therefore, the maximum candidacy period for a full-time Master by Research student is 96 months [1, Page: 12].",48 months.,0.9999999999,1.0,1.0,0.9999999999999393
What does 'Viva Voce Category 5' mean?,['4.3 \nAcademic Dismissal \nA student will be dismissed under the following conditions: \n \n1. Failed to complete the semester registration within the registration period. \n2. Failed Research Methodology for two (2) consecutive semesters. \n3. Exceeded the maximum duration of candidacy. (Refer 2.1) \nResearch \nCoursework \n1. Failed to complete the Research Proposal \nDefense (RPD) within stipulated time. \n2. Obtained Research Proposal Defense (RPD) \nunsatisfactory results (64.99% and below) \non the second attempt. \n3. Placed under Academic Probation for two \n(2) consecutive semesters. \n4. Obtained “Category 4” in viva voce re-\nevaluation. \n5. Obtained “Category 5” in viva voce. \n6. Failed to submit final hardbound thesis \nwithin stipulated time. \n \n1. Obtained GPA or CGPA 2.99 and below in two \n(2) consecutive semesters. \n2. Placed under Academic Probation for two (2) \nconsecutive semesters. \n3. Obtained GPA or CGPA below 2.50. \n \n \n \nAll decision on academic dismissal is at the discretion of the University Examination Committee (UEC) \n& Senate.'],"According to Source [1], Page: 24, ""Category 5"" in viva voce refers to a condition for academic dismissal. Therefore, ""Viva Voce Category 5"" means that the student has failed to meet the requirements of their research defense and is subject to academic dismissal.",Dismiss.,0.9999999999,1.0,0.3333333333333333,0.9600449844540866
How many credit hours are required to graduate with a Bachelor of Science (Hons) in Applied Chemistry?,"['Bacheclor of Science (Hons) in Applied Chemistry – Programme Details \n210 | UNDERGRADUATE CURRICULUM PROGRAMME \n \n \n \n1.4 \nGraduation Requirements \nIn order to graduate with the Bachelor of Science (Hons) in Applied Chemistry, students are required \nto obtain a minimum of 127 credit hours and a minimum CGPA of 2.00. \n \n \nSummary of Courses Required for Graduation \nCourse Group (G) \nNumber of Credit Hours \nNR - National Requirement \n10 \nUR - University Requirement \n14 \nCC – Core Common \n8 \nCD - Core Discipline \n69 \nCI - Core Industrial Internship \n14 \nCSp - Core Specialisation \n12 \nTOTAL \n127']","According to the context, 127 credit hours are required to graduate with a Bachelor of Science (Hons) in Applied Chemistry. [1, Page: 228]",Students are required to obtain a minimum of 127 credit hours and a minimum CGPA of 2.00.,0.9999999999,1.0,1.0,0.9999999999999037
How long is the maximum period for deferment of studies with a medical certificate?,['2.4 \nDeferment of Studies with Medical Certificate (MC) \nA  student  who  wishes  to  apply  for  a  deferment  must  satisfy  the  following  requirements: \n \ni. Deferment of studies is only applicable on medical grounds. \nii. Application for deferment must be made within one (1) semester from the date they are \ndeferred. \niii. Deferment of studies may be given for a minimum of one (1) semester and maximum of two \n(2) semester within the candidacy period. Application is entertained based on 0ne application \nper semester. \niv. All applications for deferment must be in writing and to be addressed to the Registrar. \nv. International students are required to cancel their current student pass and return to their \nhome country during deferment period. \n \nAll successful applicants for deferment are exempted from paying the necessary fees and the \ndeferred semester is not considered as part of the study period. \n \n \n2.5 \nDeferment of Studies without Medical Certificate (MC) \nA student who has difficulty to continue studying in a semester shall inform Registry to apply for \ndeferment of studies without MC following the rules below:'],"The maximum period for deferment of studies with a medical certificate is two (2) semesters within the candidacy period. [1, Page: 22]",Deferment of studies may be given for a minimum of one (1) semester and maximum of two (2) semester within the candidacy period.,0.9999999999,1.0,0.6666666666666666,0.9909038287518456
What CGPA range is required for a Third Class Honours degree?,['22 | A GUIDE TO UNIVERSITY ACADEMIC GUIDELINES AND PROCEDURES \n \niv. \nFulfilled all specified requirements of the programme; \nv. \nObtained a minimum CGPA of 2.00; \nvi. \nPass all courses taken. \n \n4.5.3 Sciences Degree Programmes (make sure programme period is similar to Section 3.1) \n \ni. \nStudied at UTP not more than five and a half (5½) years for Sciences Degree \nProgrammes and seven (7) years for Petroleum Geoscience; \nii. \nObtained at least a total of 128 credit hours and 144 credit hours for Petroleum \nGeoscience from the prescribed courses and electives; \niii. \nCompleted the student industrial internship programme; \niv. \nFulfilled all specified requirements of the programme; \nv. \nObtained a minimum CGPA of 2.00; \nvi. \nPass all courses taken \n4.5.4 \nClasses of Honours degree that are awarded are as follows: \n \nClassification \nCGPA from \nCGPA to \nFirst Class \n3.65 \n4.00 \nSecond Class Upper \n3.00 \n3.64 \nSecond Class Lower \n2.50 \n2.99 \nThird Class \n2.00 \n2.49 \n \n \n4.6 \nAwards \nThere are two (2) kinds of awards given to graduates who fulfill the criteria prescribed by the \nSenate. The awards are as follow: \n \n4.6.1 Chancellor Award'],"According to Source [1], Page 28, the CGPA range for a Third Class Honours degree is from 2.00 to 2.49. [1, Page: 28]",2.00 to 2.49.,0.9999999999,1.0,0.5,0.9812428428683359
Can a Master's candidate apply to be upgraded to a PhD?,"['to the entrance qualification of the study course that has been set. \nix. Upon the approval for change of programme, students need to apply for credit transfer if \napplicable. \nx. The requirements set by the Ministry of Higher Education (MOHE) as shown below: \na. The student must complete at least one semester before applying for a \nprogramme change. \nb. The programme change must occur within 18 months from the start of their \nstudies. \n \n2.8 \nUpgrading of Master to PhD \n \n2.8.1 Eligibility \nA Master’s candidate may apply for an upgrade to PhD within their first year of candidature. The \nsupervisor may recommend upgrading a master student to PhD level based on the following criteria: \ni. \nObtained a minimum CGPA of 3.30 in bachelor’s degree. \nii. \nApplication must be WITHIN 12 months of Master candidature. \niii. Passed Research Proposal Defence (RPD) for Master’s degree. \niv. Accepted article in indexed journals (Scopus or Web of Science). \nv. \nPresented and defended PhD proposal with rigorous assessment by panel of assessors. \nvi. Approved by University Examination Committee (UEC). \n \n2.8.2 Application Process']","Yes, according to Source [1], Page 19, a Master's candidate may apply for an upgrade to PhD within their first year of candidature (Source [1], Page: 19).","Yes, a Master's candidate may apply for an upgrade to PhD within their first year of candidature.",0.9999999999,1.0,1.0,0.8811522117824103
What is the maximum candidacy period for a Master by Coursework student?,"['7 \n \n2.0 \nACADEMIC ADMINISTRATION \n \n2.1 \nCandidacy Period \n \nThe duration of candidacy for each programme is as shown in the table below:  \nLevel \nDuration of Candidacy \nGraduate On Time \n(Full Time research \nonly) \nFull Time \nPart Time \nPhD \nMin: 36 months \nMax: 96 months \nMin: 48 months \nMax: 120 months \n42 months \nMaster (By Research) \nMin: 24 months \nMax: 48 months \nMin: 36 months \nMax: 72 months \n24 months \nMaster (By Coursework) \nConventional & ODL \nMin: 12 months \nMax: 36 months \n- \n \n- \nMBA in Energy \nManagement \n(Coursework) \nConventional & ODL  \nMin: 18 months \nMax: 36 months \n- \n \n- \n \nThe candidacy period for research programme begins from the 1st semester registered until the \nsubmission of Soft Bound Thesis \n \nDue to few factors, (i.e., deferment, change of mode, change of programme), the duration of \ncandidacy may be changed. The scenarios are as follows: \n \nDeferment of Studies \nDeferment (Without Medical Certificate) \nScenario 1:  \nStudent deferred (without medical certificate) \nfor one (1) semester.  \nDeferment (With Medical Certificate) \nScenario 2:  \nStudent deferred (with medical certificate) for \none (1) semester.  \nAdmission Date: 1 January 2024']","According to Source [1], Page [12], the maximum candidacy period for a Master (By Coursework) student is 36 months.",36 months.,0.9999999999,1.0,0.6666666666666666,0.9911457850837943
What is the pre-requisite for Introduction to Business and Information Systems (FCB 0025)?,"['Base Equilibria. \nCOURSE CODE: \nCOURSE: \nNO. OF CREDIT: \nPRE-REQUISITE: \nFCB 0035 \nPrinciples of Economics \n5 credits \nNone \nThis course will cover: \nConcepts and models of microeconomics and macroeconomics analysis; and to demonstrate its applications in the\nbusiness environment in order to gain a better understanding of problems and policy issues relevant to the national\nand international economics. \nCOURSE CODE: \nCOURSE: \nNO. OF CREDIT: \nPRE-REQUISITE: \nFCB 0025 \nIntroduction to Business and Information Systems \n5 credits \nBusiness Management \nThis course will cover: \nConcepts on Information Systems and how it adds competitive advantages to businesses and organisations. \nCOURSE CODE: \nCOURSE: \nNO. OF CREDIT: \nPRE-REQUISITE: \nFCB 0015 \nBusiness Management \n5 credits \nNone \nThis course will cover: \nOverview of business and its organisation, How Economics Affect Business, Business Ethics and Fulfilling Social\nResponsibility, Organizing a Business, Principles of Management, Human Resource Management (HRM), Principles\nof Marketing, Principles of Accounting, Financial Management, Money and Banking. \nFOUNDATION PROGRAMME COURSES SYNOPSIS']","According to the context, the pre-requisite for Introduction to Business and Information Systems (FCB 0025) is None. [1, Page: 36]",Business Management.,0.9999999999,0.0,0.6666666666666666,0.9874953094845486
What is the pre-requisite for Hydraulics (VFB2043)?,"['55 | UNDERGRADUATE CURRICULUM PROGRAMME \n \n \n \nBachelor of Civil Engineering with Honours – Programme Details \nCOURSE CODE \n: \nVFB1063 \nCOURSE \n: \nTheory of Structures \nNO. OF CREDITS \n: \n3 credits \nPRE-REQUISITE \n: \nMechanics of Solids \nThis course covers the fundamental concepts of analysis of determinate structures including frames, cables & \nthree-hinged arches. The course introduces the students to influence lines, deflections of 2D skeletal structures \nusing various methods and buckling using Euler-Bernoulli beam theory. \n \n \n \n \n \n \n \n \n \n \nCOURSE  CODE \nCOURSE \n:\n:\nNO. OF CREDITS \n:\nPRE-REQUISITE \n:\nVFB2043 \nHydraulics \n3 credits \nCivil Engineering Fluid Mechanics \nThis course emphasises the use of the fundamentals of open channel flows in the design of hydraulic structures \nsuch as weirs, culverts, concrete gravity dams, spillways and energy dissipation structures. Determination of water \nsurface profiles and sediment transport of rivers using computer tools will also be incorporated in this course. \nFundamentals on the physical modelling aspects will be introduced through the dimensional analysis. \nCOURSE \n:\n:\nNO. OF CREDITS \n:\nPRE-REQUISITE \n:\nVFB2033']","According to Source [1], Page 72, the pre-requisite for Hydraulics (VFB2043) is Civil Engineering Fluid Mechanics.",Civil Engineering Fluid Mechanics.,0.9999999999,1.0,0.0,0.9876745915524499
