user_input,retrieved_contexts,response,reference,context_precision,context_recall,faithfulness,answer_relevancy
What is the maximum candidacy period for a full-time Master by Research student?,"['7 \n \n2.0 \nACADEMIC ADMINISTRATION \n \n2.1 \nCandidacy Period \n \nThe duration of candidacy for each programme is as shown in the table below:  \nLevel \nDuration of Candidacy \nGraduate On Time \n(Full Time research \nonly) \nFull Time \nPart Time \nPhD \nMin: 36 months \nMax: 96 months \nMin: 48 months \nMax: 120 months \n42 months \nMaster (By Research) \nMin: 24 months \nMax: 48 months \nMin: 36 months \nMax: 72 months \n24 months \nMaster (By Coursework) \nConventional & ODL \nMin: 12 months \nMax: 36 months \n- \n \n- \nMBA in Energy \nManagement \n(Coursework) \nConventional & ODL  \nMin: 18 months \nMax: 36 months \n- \n \n- \n \nThe candidacy period for research programme begins from the 1st semester registered until the \nsubmission of Soft Bound Thesis \n \nDue to few factors, (i.e., deferment, change of mode, change of programme), the duration of \ncandidacy may be changed. The scenarios are as follows: \n \nDeferment of Studies \nDeferment (Without Medical Certificate) \nScenario 1:  \nStudent deferred (without medical certificate) \nfor one (1) semester.  \nDeferment (With Medical Certificate) \nScenario 2:  \nStudent deferred (with medical certificate) for \none (1) semester.  \nAdmission Date: 1 January 2024', 'each programme. \n \n4.7 \nAnnual leave (by Research Full Time only) \nPG by Research Full Time students is entitled up to a maximum 14 days of annual leave. All leave \nrequests must be submitted via UCampus for Department Chair approval. \n \nSemester \nNo of Annual Leave \nJan \n5 Days \nMay \n4 Days \nSept \n5 Days \nNote: Unused leave cannot be carried over to the following year.']","<think> We need to find the relevant information about the candidacy period for a full-time Master by Research student. Let's look at chunk [1]. </think>

According to chunk [1], we can see that the duration of candidacy for a PhD (Full Time) is Min: 36 months and Max: 96 months. Since this is for a PhD, which is a higher degree than a Master's, it's likely that the maximum candidacy period for a full-time Master by Research student would be less than this.

Looking at the table in chunk [1], we can see that the duration of candidacy for a Master (By Research) is Min: 24 months and Max: 48 months. However, this is for both full-time and part-time students. Since we're looking for the maximum candidacy period for a full-time student, let's look at the ""Full Time"" column.

The maximum candidacy period for a full-time Master (By Research) student is 42 months [1, Page: 12].",48 months.,0.9999999999,1.0,0.7142857142857143,0.9999999999999393
How many credit hours of co-curriculum are required for the Foundation Programme?,"['4.0 \nImplementation \nParticipation in Credited Co-Curriculum Programme is essential and as important as academic pursuit In \nproducing well-rounded global graduates. Credited Co-Curriculum Programme is part of University\'s courses \nand therefore is COMPULSORY for all students to obtain minimum of ""D"" grade in at least FOUR (4) Credited \nCo-Curriculum courses taken. \n4.1 Credit Hours \nThe total credit hours required is two (2) and should be taken in the second and third semester. \nStudents are allowed to take more than the required credit hours but only the required number of credit \nhours will be taken into consideration for graduation purposes. \n \n4.2 Choice of Courses \nThere are four clusters in the Co-Curriculum Programme, which are: \ni. Cluster 1: Leadership & Communication \nii. Cluster 2: Creativity, Innovation & Entrepreneurship \niii. Cluster 3: Arts & Culture \niv. Cluster 4: Sports & Recreation \nStudents are required to at least enrolled in 2 different clusters throughout the studies. Students are \nnot permitted to enrolled in the same course throughout the studies either in Foundation or \nUndergraduate programme. \n \n \n34', 'Foundation Programme Academic Guide \n \n \n \n \n \n2.0 \nAcademic Administration \n \nEach student is required to register for every course taken up during the registration period and \naccording to the number of credit hours allowed. \n \n2.1 \nRegistration of Courses \nIt is compulsory for students to register for their courses at the beginning of the semester. The \nregistration for the following semester will be conducted at the end of each semester. Registration \nof courses is conclusive unless the student is under probation, probation & warning, or dismissal \nstatus; or the student failed any of the pre-requisite courses. \nStudents are required to register during the prescribed registration period and comply with the \ncredit hour requirement. Students who failed to register within the given time can be barred from \ncontinuing their study for that particular semester. \nStudents who still have outstanding dues are not allowed to register for the new semester. \nAll full time students must register a minimum of nine (9) credit hours or equivalent to 2 courses in \na particular semester. However, this ruling may be waived for completing students who are in their \nfinal semester. \n \n2.2']","**Credit Hours Required for Co-Curriculum: Not Specified**
I'm sorry, I cannot find that information in the provided context chunks.",The total credit hours required is two (2).,0.9999999999,1.0,0.0,0.0
What is the minimum CGPA to complete the Foundation Programme?,"[""Foundation Programme Academic Guide \n \n \n \n \n3.0 \nAcademic Requirements \n \n3.1 \nCompletion Requirements \nThe minimum period of study is three (3) semesters (1 year) and the maximum period of study is \nsix (6) semesters (2 years). A student must: \ni. Obtain a CGPA of 2.00 or higher. \nii. Pass all courses as required by the programme. A student who fails a course is required to \nrepeat the particular course. \niii. Satisfy all requirements as approved by UTP Senate. \n \n3.2 \nChange of Programme \nA student may request for a change of programme upon the endorsement of the Dean of Faculty \nsubject to availability and approval from the Director of Registry and the sponsor (if any). The \nadministrative fees will be charged for the processing and handling of change programme \napplication. \n \n3.3 \nTransfer of Credits \nA student may request for transfer of credits for a change of programme upon the advice of the \nDean of Centre for Foundation Studies or for other justified reasons subject to availability and \napproval from the DVCA and sponsors (if any). \n \n4.0 \nAssessment \n \nAn assessment is an evaluation of a student's performance through formative & summative assessment"", 'Foundation Programme Academic Guide \n \n \n \n1.2.32 Cumulative Grade Point Average (CGPA) \nA CGPA is the grade point average obtained by a student based on all courses he/she has \ncompleted to date. The calculation is based on the following formula: \n \nTotal of Grade Points Scored to Date \nCGPA \n= \nTotal of Credit Hours Taken to Date \n \n1.2.33 Final Examination \nFinal Examination is the final summative assessment of a student’s learning performance in \nlearning a course. It is compulsory for students to attend the final examination, in failing to \ndo so, the students will be given an ‘F’ grade. \n \nIn order to pass the course, the student must obtain a minimum score of 20% in the final \nexamination. \n \n1.2.34 Course Repeating \nA student who has failed a course from an earlier semester shall be required to repeat and \npass the course at the earliest semester when the course is offered again. \n \n1.2.35 Course Redemption \nA student who has obtained a CGPA of less than 2.0 after completing all courses to complete \nthe programme is allowed to redeem a course with grade of ‘C’ or lower. The student is to']","**Minimum CGPA to complete the Foundation Programme: 2.00**
---------------------------------------------------------","A student must PASS all the required courses, complete a minimum of 50 credits and obtain a minimum CGPA of 2.00.",0.99999999995,0.3333333333333333,1.0,0.9864855988022502
Is a deferred semester (with medical reason) counted as part of the period of study?,"['length of absence is not considered as part of the period of study. \n \n \n2.4.2 Deferment without medical reason \n \nA student who wishes to apply for a deferment without medical reason must satisfy the following \nrequirements: \n \ni. \nDeferment without medical reason is applicable for any valid reasons other than medical \nreason. \nii. \nDeferment without medical reason may be given only for 1 semester in one approval. \niii. Deferment without medical reason must be in writing and to be addressed to the Department \nChair and endorsed by Dean of Faculty and approval by Registrar. \niv. Deferment without medical reason will be considered as part of the period of study. \nv. \nInternational Student is allowed to apply for Deferment of Study TWICE (2) throughout his/her \nstudy period on Non-Medical Reason that is approved by the University. \nvi. International Student is required to Shorten a Student Pass and Return Back to his/her Home \nCountry. \nvii. International Student is required to apply for a NEW Application upon the completion period \nof the deferment prior returning to university to continue his/her study. \nviii. Considered/counted as part of Period of Candidature.', '13 | A GUIDE TO UNIVERSITY ACADEMIC GUIDELINES AND PROCEDURES \n \nThe students are required to submit the application three (3) days before the actual date or, in \nemergency cases, after returning to campus by attaching the relevant supporting documents \n(medical certificate, death certificate) to the respective academic department. \n \nThe minimum attendance requirement is ninety percent (90%) for each course after the add/drop \nperiod. A student who fails to fulfill this requirement without providing the approved supporting \ndocument may be barred from sitting the final examination. \n \nInternational students who do not fulfill the requirements above will affect the renewal of student \npass. \n \n2.4 \nDeferment of Studies \n2.4.1 Deferment with medical reason \n \nA student who wishes to apply for a deferment with medical reason must satisfy the following \nrequirements: \ni. \nDeferment with medical reason is only applicable on medical grounds. \nii. \nDeferment with medical reason may be given only for 1 semester in one approval. \niii. Deferment with medical reason will not be considered as part of the period of study.']","**No**, a deferred semester with medical reason is not counted as part of the period of study. According to chunk [2], ""Deferment with medical reason will not be considered as part of the period of study."" [2, Page: 19]",Deferment with medical reason will not be considered as part of the period of study.,0.99999999995,1.0,1.0,0.9708500783745672
What does 'Viva Voce Category 5' mean?,"['the exam until he/she achieves the passing grade before graduation. \n \nCourse Re-sit \nA student with an incomplete grade (with indicator “I”) will be given an opportunity to re-sit the final \nexamination. \n \nViva Voce Examination \nViva voce is an oral examination where the postgraduate student presents and defends their research \nthesis to selected examiners that is comprised of internal examiner, external examiner and chairman. \n \nCompletion of Study \nStudent must fulfil all graduation requirements as specified by the programme and approved by the \nSenate for completion of study. \n \nGraduate On-Time (GOT) \nGraduate On-Time (GOT) is based on a fixed period which starts from date of admission until the date \nof Senate approval. The duration for Graduate On-Time (GOT) is based on the MyRA definition; PhD is \n42 months and Master is 24 months. \n \nPostgraduate Financial Assistance Committee (PGFAC) \nPGFAC was established for the purpose to deliberate and approve financial assistance awarded to \nstudent sponsored by the university. \n \nIntellectual Property (IP) \nInclude any invention, know-how, industrial design, layout design of integrated circuits, copyright and', 'chairman one (1) Internal Examiner from the Department and one (1) External Examiner from other \nclusters/departments. Supervisor is invited as an observer to the RCS but not as a panel member. \n \n5.3 \nViva Voce Examination \nThe Viva Voce oral examination is compulsory for both Master and PhD candidates. It is the most \nimportant assessment in deciding whether the research work (thesis) has satisfied the panel of \nexaminers and that is eligible to be offered a postgraduate degree pending submission of the final \nhardbound thesis and approval by Senate. \n \nNormally the oral examination will take place at UTP and is conducted by a chairman and at least one \nexternal examiner and an internal examiner. The candidate’s supervisor may be present at the oral \nexamination as an observer. \n  \nThe oral examination is primarily intended to test the candidate’s awareness of the background of the \nresearch, the significance of the thesis in the field studied and, especially in the case of the PhD, the \nextent to which it contributes to existing knowledge. Its aim is to enable the examiners to clarify with']","I'm sorry, I cannot find that information in the UTP handbooks.",Dismiss.,0.0,0.75,0.0,0.0
"If a student redeems a course, which grade is counted in the CGPA?","['GPA \n= \nTotal of Grade Points Scored in the Semester \nTotal of Credit Hours Taken in the Same Semester \n \n \n1.2.32 Cumulative Grade Point Average (CGPA) \nA CGPA is the grade point average obtained by a student based on all courses he/she has \ncompleted to date. The calculation is based on the following formula: \n \nCGPA \n= \nTotal of Grade Points Scored to Date \nTotal of Credit Hours Taken to Date \n \n1.2.33 Final Examination \nFinal Examination is a compulsory component to be given to students who are registered \nfor non project-based course(s). It is compulsory for students to attend the final \nexamination, failing which; the students will be given an ‘F’ grade. \n \nIt is compulsory for a student to adhere to the policy of obtaining a minimum 40% of final \nexamination and coursework mark for all courses in order to pass the course. This \ncondition applies to all undergraduate programmes. \n \n1.2.34 Course Repeating \nA student who has failed a course or obtained an Incomplete Grade (I) from an earlier \nsemester shall be required to repeat and pass the course at the earliest semester when the \ncourse is offered again.', ""academic requirements. Some examples of cheating include copying, allowing other students to \ncopy outside or during an examination. Plagiarism may involve presenting another person's work, \nopinion or term as one's own without proper acknowledgement, be it printed or electronic \nmaterials such as books, magazines, thesis or projects. \n \nIf found guilty, the student will be given an ‘F’ grade for the said course and may be suspended for \na period of time or dismissed or any other penalty deemed necessary by the University. \n \nIn addition, suspended international students are required to cancel their student pass and return \nto their home country. \n \n \n \n5.2 Satisfactory Performance \nA student's performance is considered satisfactory if he/she obtains a GPA and CGPA of 2.00 and \nabove. If a student's CGPA is unsatisfactory, he/she will be placed on probation or probation and \nwarning or dismissed from UTP. \n \n5.2.1 \nDean’s List \nStudent who obtains a GPA between 3.50 to 4.00, and fulfill Dean’s List conditions as per \nitem 4.7. \n \n5.2.2 Good Standing \nStudent who obtains GPA between 3.00 and 3.49. \n \n5.2.3 Pass \nStudent who obtains GPA between 2.00 and 2.99.""]","**If a student redeems a course, the grade counted in the CGPA is not specified in the provided context. I'm sorry, I cannot find that information in the UTP handbooks.**",Only the BEST grade will be counted in the total credit hours and cumulative grade point average (CGPA) calculation.,0.9999999999,1.0,0.3333333333333333,0.0
What CGPA range is required for a Second Class Lower Honours degree?,"['22 | A GUIDE TO UNIVERSITY ACADEMIC GUIDELINES AND PROCEDURES \n \niv. \nFulfilled all specified requirements of the programme; \nv. \nObtained a minimum CGPA of 2.00; \nvi. \nPass all courses taken. \n \n4.5.3 Sciences Degree Programmes (make sure programme period is similar to Section 3.1) \n \ni. \nStudied at UTP not more than five and a half (5½) years for Sciences Degree \nProgrammes and seven (7) years for Petroleum Geoscience; \nii. \nObtained at least a total of 128 credit hours and 144 credit hours for Petroleum \nGeoscience from the prescribed courses and electives; \niii. \nCompleted the student industrial internship programme; \niv. \nFulfilled all specified requirements of the programme; \nv. \nObtained a minimum CGPA of 2.00; \nvi. \nPass all courses taken \n4.5.4 \nClasses of Honours degree that are awarded are as follows: \n \nClassification \nCGPA from \nCGPA to \nFirst Class \n3.65 \n4.00 \nSecond Class Upper \n3.00 \n3.64 \nSecond Class Lower \n2.50 \n2.99 \nThird Class \n2.00 \n2.49 \n \n \n4.6 \nAwards \nThere are two (2) kinds of awards given to graduates who fulfill the criteria prescribed by the \nSenate. The awards are as follow: \n \n4.6.1 Chancellor Award', '3.75 \nB+ \nGood Credit \n3.50 \nB \nCredit \n3.00 \nC+ \nGood Pass \n2.50 \nC \nPass \n2.00 \nD+ \nMarginal Pass \n1.50 \nD \nUnsatisfactory Pass \n1.00 \nF \nFail \n0.00 \nQF \nQualified Fail (not obtaining 40& in coursework and final examination) \n0.00 \nNote: \nA student may repeat courses with grades lower than ‘C’ in order to improve his CGPA.']",**CGPA Range for Second Class Lower Honours degree: 2.50 - 2.99**,2.50 to 2.99.,0.99999999995,1.0,1.0,0.9820274908054306
What is the maximum candidacy period for a part-time Master by Research student?,"['7 \n \n2.0 \nACADEMIC ADMINISTRATION \n \n2.1 \nCandidacy Period \n \nThe duration of candidacy for each programme is as shown in the table below:  \nLevel \nDuration of Candidacy \nGraduate On Time \n(Full Time research \nonly) \nFull Time \nPart Time \nPhD \nMin: 36 months \nMax: 96 months \nMin: 48 months \nMax: 120 months \n42 months \nMaster (By Research) \nMin: 24 months \nMax: 48 months \nMin: 36 months \nMax: 72 months \n24 months \nMaster (By Coursework) \nConventional & ODL \nMin: 12 months \nMax: 36 months \n- \n \n- \nMBA in Energy \nManagement \n(Coursework) \nConventional & ODL  \nMin: 18 months \nMax: 36 months \n- \n \n- \n \nThe candidacy period for research programme begins from the 1st semester registered until the \nsubmission of Soft Bound Thesis \n \nDue to few factors, (i.e., deferment, change of mode, change of programme), the duration of \ncandidacy may be changed. The scenarios are as follows: \n \nDeferment of Studies \nDeferment (Without Medical Certificate) \nScenario 1:  \nStudent deferred (without medical certificate) \nfor one (1) semester.  \nDeferment (With Medical Certificate) \nScenario 2:  \nStudent deferred (with medical certificate) for \none (1) semester.  \nAdmission Date: 1 January 2024', 'explain how the calculation works. The detailed \ncalculations involved number of days to determine an \nexact date. \nAdmission Date: 1 January 2024 \nPhD (Part Time) Duration: Ten (10) Years \nPhD (Full Time) Duration: Eight (8) Years  \nEffective Semester for New Mode: Starting July \n2026 semester. \nCandidacy Due Date (Original): 31 December \n2033. \nCandidacy Due Date (New): 30 June 2032. \n \nNote: Calculation is based on ratio. Student have \ncompleted 2.5 years (29 months) on part-time mode, \nwhich is equivalent to approximately 2 years (24 months) \nof full-time mode. The remaining duration in full-time is \n72 months (96 months – 24 months). 72 months starting \nfrom July 2026 semester will be ended in June 2032. The \nabove calculation is a rough estimation to explain how \nthe calculation works. The detailed calculations involved \nnumber of days to determine an exact date. \n \nChange of Programmes \nThe same mechanism applied in Scenario 3 & 4 (Change of Mode) will be applied for student who \nchange their programme \n \n2.1.1 Extension of Candidacy \nA student who requires more than the stipulated maximum period to complete his/her study may']","**Maximum Candidacy Period for Part-Time Master by Research Student**
According to chunk [1], the maximum candidacy period for a part-time Master by Research student is **120 months**.",72 months.,0.99999999995,1.0,1.0,0.9999999999999236
What is the maximum candidacy period for a full-time PhD student?,"['7 \n \n2.0 \nACADEMIC ADMINISTRATION \n \n2.1 \nCandidacy Period \n \nThe duration of candidacy for each programme is as shown in the table below:  \nLevel \nDuration of Candidacy \nGraduate On Time \n(Full Time research \nonly) \nFull Time \nPart Time \nPhD \nMin: 36 months \nMax: 96 months \nMin: 48 months \nMax: 120 months \n42 months \nMaster (By Research) \nMin: 24 months \nMax: 48 months \nMin: 36 months \nMax: 72 months \n24 months \nMaster (By Coursework) \nConventional & ODL \nMin: 12 months \nMax: 36 months \n- \n \n- \nMBA in Energy \nManagement \n(Coursework) \nConventional & ODL  \nMin: 18 months \nMax: 36 months \n- \n \n- \n \nThe candidacy period for research programme begins from the 1st semester registered until the \nsubmission of Soft Bound Thesis \n \nDue to few factors, (i.e., deferment, change of mode, change of programme), the duration of \ncandidacy may be changed. The scenarios are as follows: \n \nDeferment of Studies \nDeferment (Without Medical Certificate) \nScenario 1:  \nStudent deferred (without medical certificate) \nfor one (1) semester.  \nDeferment (With Medical Certificate) \nScenario 2:  \nStudent deferred (with medical certificate) for \none (1) semester.  \nAdmission Date: 1 January 2024', 'explain how the calculation works. The detailed \ncalculations involved number of days to determine an \nexact date. \nAdmission Date: 1 January 2024 \nPhD (Part Time) Duration: Ten (10) Years \nPhD (Full Time) Duration: Eight (8) Years  \nEffective Semester for New Mode: Starting July \n2026 semester. \nCandidacy Due Date (Original): 31 December \n2033. \nCandidacy Due Date (New): 30 June 2032. \n \nNote: Calculation is based on ratio. Student have \ncompleted 2.5 years (29 months) on part-time mode, \nwhich is equivalent to approximately 2 years (24 months) \nof full-time mode. The remaining duration in full-time is \n72 months (96 months – 24 months). 72 months starting \nfrom July 2026 semester will be ended in June 2032. The \nabove calculation is a rough estimation to explain how \nthe calculation works. The detailed calculations involved \nnumber of days to determine an exact date. \n \nChange of Programmes \nThe same mechanism applied in Scenario 3 & 4 (Change of Mode) will be applied for student who \nchange their programme \n \n2.1.1 Extension of Candidacy \nA student who requires more than the stipulated maximum period to complete his/her study may']",**Maximum Candidacy Period for Full-Time PhD Student:** 96 months,96 months.,0.99999999995,0.5,1.0,0.9999999999999994
What is the pre-requisite for Physics II (FCP 0025)?,"['COURSE: \nNO. OF CREDIT: \nPRE-REQUISITE: \nFCM 0025 \nFundamental Mathematics I \n5 credits \nNone \nThis course will cover: \nThe  basic  algebra,  functions,  polynomials  and  rational  functions,  exponential  and  logarithmic  functions, \ntrigonometry, differentiation techniques and application of differentiation. \nCOURSE CODE: \nCOURSE: \nNO. OF CREDIT: \nPRE-REQUISITE: \nFCM 0015 \nMathematics I \n5 credits  \nNone \nThis course will cover: \nFundamentals of mathematics, functions, polynomials and rational functions, exponential and logarithmic \nfunctions, trigonometry, limits of functions, differentiation techniques and application of differentiation. \nCOURSE CODE: \nCOURSE: \nNO. OF CREDIT: \nPRE-REQUISITE: \nFCP 0025 \nPhysics II\n5 credits\nPhysics I \nThis course will cover: \nElectric charge, electric field, electric potential, electric current, DC circuits, magnetism, electromagnetic waves, \ngeometrical optics, physical optics, quantum, atomic & nuclear physics. \nCOURSE CODE: \nCOURSE: \nNO. OF CREDIT: \nPRE-REQUISITE: \nFCP 0015 \nPhysics I\n5 credits\nNone \nThis course will cover: \nMeasurements, error analysis, kinematics and dynamics of motion, force, work and energy, momentum, uniform', 'COURSE CODE: \nCOURSE: \nNO. OF CREDIT: \nPRE-REQUISITE: \nFCP 0015 \nPhysics I\n5 credits\nNone \nThis course will cover: \nMeasurements, error analysis, kinematics and dynamics of motion, force, work and energy, momentum, uniform\ncircular motion, rotational motion, static equilibrium, elasticity, oscillations, waves, sound, fluids, temperature and\nheat.']",**Pre-requisite for Physics II (FCP 0025):** FCP 0015 - Physics I (5 credits),Physics I,0.99999999995,1.0,0.3333333333333333,0.8669203325439415
